t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:12.284371000,2330,0,0,226,2725000,2730000,29
2020-04-06D09:05:12.289296000,2330,0,0,226,2725000,2730000,29
2020-04-06D09:05:12.289840000,2330,0,0,226,2725000,2730000,32
2020-04-06D09:05:12.290287000,2330,0,0,226,2725000,2730000,34
2020-04-06D09:05:12.290477000,2330,0,0,226,2725000,2730000,34
2020-04-06D09:05:12.305140000,2330,0,0,226,2725000,2730000,44
2020-04-06D09:05:12.305955000,2330,0,0,226,2725000,2730000,46
2020-04-06D09:05:12.338387000,2330,0,0,222,2725000,2730000,46
2020-04-06D09:05:12.352601000,2330,2730000,1,222,2725000,2730000,45
2020-04-06D09:05:12.387157000,2330,0,0,222,2725000,2730000,45
2020-04-06D09:05:12.418059000,2330,0,0,222,2725000,2730000,45
2020-04-06D09:05:12.498255000,2330,2730000,3,222,2725000,2730000,42
2020-04-06D09:05:12.575337000,2330,0,0,222,2725000,2730000,52
2020-04-06D09:05:12.601444000,2330,0,0,222,2725000,2730000,52
2020-04-06D09:05:12.627787000,2330,0,0,222,2725000,2730000,52
2020-04-06D09:05:12.629013000,2330,0,0,222,2725000,2730000,52
2020-04-06D09:05:12.638397000,2330,0,0,222,2725000,2730000,52
2020-04-06D09:05:12.646078000,2330,2730000,3,222,2725000,2730000,49
2020-04-06D09:05:12.648616000,2330,0,0,222,2725000,2730000,53
2020-04-06D09:05:12.705254000,2330,2725000,1,221,2725000,2730000,53
2020-04-06D09:05:12.999607000,2330,0,0,221,2725000,2730000,53
2020-04-06D09:05:13.010667000,2330,0,0,221,2725000,2730000,57
2020-04-06D09:05:13.018385000,2330,0,0,221,2725000,2730000,57
2020-04-06D09:05:13.029065000,2330,0,0,221,2725000,2730000,58
2020-04-06D09:05:13.038975000,2330,0,0,221,2725000,2730000,58
2020-04-06D09:05:13.079499000,2330,0,0,221,2725000,2730000,63
2020-04-06D09:05:13.107760000,2330,0,0,221,2725000,2730000,63
2020-04-06D09:05:13.147873000,2330,0,0,221,2725000,2730000,107
2020-04-06D09:05:13.224195000,2330,0,0,221,2725000,2730000,107
2020-04-06D09:05:13.227413000,2330,0,0,221,2725000,2730000,119
2020-04-06D09:05:13.262619000,2330,0,0,221,2725000,2730000,119
2020-04-06D09:05:13.262862000,2330,0,0,221,2725000,2730000,119
2020-04-06D09:05:13.312292000,2330,0,0,221,2725000,2730000,120
2020-04-06D09:05:13.421649000,2330,0,0,221,2725000,2730000,128
2020-04-06D09:05:13.464745000,2330,0,0,221,2725000,2730000,132
2020-04-06D09:05:13.525658000,2330,2725000,2,219,2725000,2730000,132
2020-04-06D09:05:13.661328000,2330,0,0,218,2725000,2730000,132
2020-04-06D09:05:13.687918000,2330,0,0,218,2725000,2730000,132
2020-04-06D09:05:13.733926000,2330,0,0,219,2725000,2730000,132
2020-04-06D09:05:13.748512000,2330,0,0,219,2725000,2730000,136
2020-04-06D09:05:13.811421000,2330,2730000,1,219,2725000,2730000,135
2020-04-06D09:05:13.897033000,2330,0,0,219,2725000,2730000,135
2020-04-06D09:05:13.914258000,2330,0,0,219,2725000,2730000,135
2020-04-06D09:05:13.937571000,2330,0,0,219,2725000,2730000,137
2020-04-06D09:05:14.060512000,2330,0,0,219,2725000,2730000,144
2020-04-06D09:05:14.249039000,2330,0,0,219,2725000,2730000,144
2020-04-06D09:05:14.262468000,2330,0,0,219,2725000,2730000,174
2020-04-06D09:05:14.333603000,2330,2730000,5,219,2725000,2730000,169
2020-04-06D09:05:14.594642000,2330,2725000,1,218,2725000,2730000,169
2020-04-06D09:05:14.596536000,2330,0,0,218,2725000,2730000,175
2020-04-06D09:05:14.649847000,2330,0,0,219,2725000,2730000,175
2020-04-06D09:05:14.728407000,2330,0,0,220,2725000,2730000,175
2020-04-06D09:05:14.849169000,2330,0,0,220,2725000,2730000,175
2020-04-06D09:05:14.927653000,2330,0,0,220,2725000,2730000,175
2020-04-06D09:05:14.998419000,2330,0,0,220,2725000,2730000,179
2020-04-06D09:05:15.000715000,2330,0,0,220,2725000,2730000,184
2020-04-06D09:05:15.002418000,2330,0,0,220,2725000,2730000,185
2020-04-06D09:05:15.006467000,2330,0,0,220,2725000,2730000,191
2020-04-06D09:05:15.022416000,2330,0,0,220,2725000,2730000,191
2020-04-06D09:05:15.252503000,2330,0,0,220,2725000,2730000,198
2020-04-06D09:05:15.364252000,2330,0,0,220,2725000,2730000,198
2020-04-06D09:05:15.385987000,2330,0,0,220,2725000,2730000,201
2020-04-06D09:05:15.405189000,2330,2730000,5,220,2725000,2730000,196
2020-04-06D09:05:15.476437000,2330,0,0,220,2725000,2730000,207
2020-04-06D09:05:16.198964000,2330,0,0,220,2725000,2730000,207
2020-04-06D09:05:17.166908000,2330,2730000,31,220,2725000,2730000,176
2020-04-06D09:05:17.218719000,2330,0,0,220,2725000,2730000,179
2020-04-06D09:05:17.231984000,2330,0,0,220,2725000,2730000,179
2020-04-06D09:05:17.238087000,2330,2730000,7,220,2725000,2730000,172
2020-04-06D09:05:17.245406000,2330,0,0,220,2725000,2730000,174
2020-04-06D09:05:17.384485000,2330,0,0,219,2725000,2730000,174
2020-04-06D09:05:17.424426000,2330,0,0,221,2725000,2730000,174
